"","subject","term","marks","group","city","modules","subject_taught"
"259","per47","third_term",51,"treatment","kano","physics","1"
"260","per48","third_term",52,"treatment","kano","physics","1"
"261","per49","third_term",NA,"treatment","kano","physics","1"
"262","per50","third_term",52,"treatment","kano","physics","1"
"263","per51","third_term",44,"treatment","kano","physics","1"
"264","per52","third_term",48,"treatment","kano","physics","1"
"265","per53","third_term",49,"treatment","kano","physics","1"
"266","per54","third_term",43,"treatment","kano","physics","1"
"267","per55","third_term",49,"treatment","kano","physics","1"
"268","per56","third_term",66,"treatment","kano","physics","2"
"269","per57","third_term",57,"treatment","kano","physics","2"
"270","per58","third_term",61,"treatment","kano","physics","2"
"271","per59","third_term",18,"treatment","kano","physics","2"
"272","per60","third_term",42,"treatment","kano","physics","2"
"273","per61","third_term",56,"treatment","kano","physics","2"
"274","per62","third_term",71,"treatment","kano","physics","2"
"275","per63","third_term",NA,"treatment","kano","chemistry","2"
"276","per64","third_term",30,"treatment","kano","chemistry","2"
"277","per65","third_term",43,"treatment","kano","chemistry","2"
"278","per66","third_term",32,"treatment","kano","chemistry","2"
"279","per67","third_term",61,"treatment","lagos","chemistry","1"
"280","per68","third_term",56,"treatment","lagos","chemistry","1"
"281","per69","third_term",61,"treatment","lagos","chemistry","1"
"282","per70","third_term",61,"treatment","lagos","chemistry","1"
"283","per71","third_term",59,"treatment","lagos","chemistry","1"
"284","per72","third_term",68,"treatment","lagos","chemistry","1"
"285","per73","third_term",56,"treatment","lagos","physics","2"
"286","per74","third_term",35,"treatment","lagos","physics","2"
"287","per75","third_term",54,"treatment","lagos","physics","2"
"288","per76","third_term",63,"treatment","lagos","physics","2"
"289","per77","third_term",52,"treatment","lagos","physics","2"
"290","per78","third_term",55,"treatment","lagos","physics","2"
"291","per79","third_term",48,"treatment","lagos","physics","2"
"292","per80","third_term",57,"treatment","lagos","physics","2"
"293","per81","third_term",28,"treatment","lagos","physics","2"
"294","per82","third_term",32,"treatment","lagos","physics","2"
"295","per83","third_term",39,"treatment","lagos","physics","2"
"296","per84","third_term",52,"treatment","lagos","physics","2"
"297","per85","third_term",44,"treatment","lagos","physics","2"
"298","per86","third_term",39,"treatment","lagos","physics","2"
"299","per87","third_term",24,"treatment","lagos","physics","2"
"300","per88","third_term",36,"treatment","lagos","physics","2"
"301","per89","third_term",57,"treatment","lagos","physics","2"
"302","per90","third_term",52,"control","lagos","physics","2"
"303","per91","third_term",59,"control","lagos","physics","2"
"304","per92","third_term",45,"treatment","lagos","physics","1"
"305","per93","third_term",51,"treatment","lagos","physics","1"
"306","per94","third_term",51,"treatment","lagos","physics","1"
"307","per95","third_term",54,"treatment","lagos","physics","1"
"308","per96","third_term",58,"control","lagos","physics","1"
"309","per97","third_term",45,"control","lagos","physics","1"
"310","per98","third_term",56,"treatment","lagos","chemistry","1"
"311","per99","third_term",60,"treatment","lagos","chemistry","1"
"312","per100","third_term",56,"treatment","lagos","chemistry","1"
"313","per101","third_term",54,"treatment","lagos","chemistry","1"
"314","per102","third_term",43,"treatment","lagos","chemistry","1"
"315","per103","third_term",42,"treatment","lagos","chemistry","1"
"316","per104","third_term",42,"treatment","lagos","chemistry","2"
"317","per105","third_term",72,"treatment","lagos","physics","2"
"318","per106","third_term",51,"treatment","lagos","physics","2"
